"user_id"!"churn"!"age"!"housing"!"credit_score"!"deposits"!"withdrawal"!"purchases_partners"!"purchases"!"cc_taken"!"cc_recommended"!"cc_disliked"!"cc_liked"!"cc_application_begin"!"app_downloaded"!"web_user"!"app_web_user"!"ios_user"!"android_user"!"registered_phones"!"payment_type"!"waiting_4_loan"!"cancelled_loan"!"received_loan"!"rejected_loan"!"zodiac_sign"!"left_for_two_month_plus"!"left_for_one_month"!"rewards_earned"!"reward_rate"!"is_referred"!"churn_probability"!"churn_prediction"!"risk_level"!"created_at"
8167!0!41!na!495.0!0!0!0!0!0!216!0!0!12!1!1!1!1!1!2!bi-weekly!0!0!0!0!sagittarius!0!0!64!2.13!1!0.48619335889816284!0!Medium!2025-10-20 18:12:26.808
8169!0!26!r!647.0!0!0!57!0!0!154!0!0!2!1!1!1!0!1!0!bi-weekly!0!0!1!0!aquarius!1!0!39!1.3!1!0.500709593296051!1!Medium!2025-10-20 18:12:27.000
8170!0!34!r!612.0!8!4!92!8!0!245!0!0!14!1!1!1!0!1!2!bi-weekly!0!0!0!0!pisces!0!0!62!2.07!0!0.0349099300801754!0!Low!2025-10-20 18:12:27.192
8171!0!38!r!541.0!19!1!57!19!0!138!0!0!35!1!0!0!0!1!0!bi-weekly!0!0!0!0!capricorn!0!0!32!1.0699999999999998!1!0.09266073256731033!0!Low!2025-10-20 18:12:27.401
8174!0!17!r!631.0!1!1!212!1!0!285!0!0!28!1!1!1!1!0!0!na!0!0!0!0!libra!0!0!59!1.97!0!0.042418837547302246!0!Low!2025-10-20 18:12:27.590
8177!0!23!na!671.0!0!0!0!0!0!176!0!0!18!1!1!1!0!1!0!bi-weekly!0!1!1!0!gemini!0!0!48!1.6!0!0.5409075021743774!1!Medium!2025-10-20 18:12:27.780
8178!0!38!na!515.0!0!0!0!0!0!145!0!0!4!1!1!1!0!1!0!na!0!0!0!0!leo!0!0!58!1.93!0!0.5257981419563293!1!Medium!2025-10-20 18:12:27.972
8186!0!32!o!616.0!4!0!130!4!0!224!0!0!29!1!1!1!1!0!0!monthly!0!0!0!0!taurus!0!0!44!1.47!0!0.1316727250814438!0!Low!2025-10-20 18:12:28.161
8187!0!49!r!579.0!0!0!20!0!0!46!0!0!10!1!1!1!1!0!0!semi-monthly!0!0!0!0!aquarius!0!0!7!0.7!1!0.05961645767092705!0!Low!2025-10-20 18:12:28.348
8190!0!25!r!617.0!0!0!56!0!0!105!0!0!4!1!1!1!1!0!2!bi-weekly!0!0!0!0!na!0!0!42!1.4!1!0.1605995148420334!0!Low!2025-10-20 18:12:28.536
8191!1!25!o!600.0!0!0!0!0!0!170!0!0!11!1!1!1!0!1!0!bi-weekly!0!0!0!0!sagittarius!1!0!53!1.77!0!0.4360472559928894!0!Medium!2025-10-20 18:12:28.723
8192!1!45!o!589.0!8!2!43!8!0!64!0!0!3!1!1!1!0!1!0!monthly!0!0!0!0!aries!1!0!25!0.83!1!0.10798535495996475!0!Low!2025-10-20 18:12:28.912
8204!1!24!r!520.0!0!0!0!0!0!204!0!0!29!1!1!1!1!0!0!na!0!1!0!0!aquarius!0!0!62!2.07!0!0.5040169358253479!1!Medium!2025-10-20 18:12:29.098
